2017-01-13 - 2017-04-16,AEF Dota 2 League Season One Division 1,"$5,191.90"
2017-01-15 - 2017-04-16,Deaf e-Sports League: 1� Temporada 2017,$156.79
2017-02-05 - 2017-04-09,Infinite Sky League,"$25,000.00"
2017-03-25 - 2017-04-08,Brasil Game Cup 2017 - Rio de Janeiro,"$1,585.92"
2017-04-03 - 2017-04-06,SLTV ProSeries Season XVIII,"$2,500.00"
2017-03-27 - 2017-04-04,DAC 2017,"$611,987.00"
2017-03-20 - 2017-03-26,D2CL Season 11,"$5,000.00"
2017-03-25,Grand Magus Cup,$76.40
2017-02-11 - 2017-03-05,Mr. Cat Invitational Season 2,"$25,500.00"
2017-02-04 - 2017-03-04,Compu & Vision Cup - Season 1,$800.00
2017-03-03 - 2017-03-04,LanTrek 2017,"$1,067.60"
2017-02-23 - 2017-02-26,StarLadder i-League StarSeries Season 3,"$300,000.00"
2017-02-14 - 2017-02-19,D2CL Season 10,"$5,000.00"
2017-02-16 - 2017-02-19,epic.20,"$1,252.25"
2017-02-11 - 2017-02-17,Elimination Mode 3.0,"$25,000.00"
2017-02-11 - 2017-02-12,InsaLan #12,$0.00
2017-01-28 - 2017-01-29,Swift Forward Cup Winter 2017,"$1,250.00"
2017-01-02 - 2017-01-23,KOD League Season IV,"$1,500.00"
2017-01-20 - 2017-01-22,DPL Season 5,"$139,859.00"
2017-01-18 - 2017-01-22,OMEN Dota 2 Cup,"$4,684.98"
2016-04-09 - 2017-01-22,Russian e-Sports Cup 2016,"$30,423.75"
2017-01-12 - 2017-01-15,WESG 2016,"$1,500,000.00"
2017-01-06 - 2017-01-08,ESL One Genting 2017,"$250,000.00"
2017-01-08,Go4Dota2 EU,$316.24
2016-12-28 - 2017-01-04,Royal Arena #2,"$5,000.00"
2018-11-11 - 2018-11-20,MegaFon Champions League Season 1,"$9,102.00"
2018-11-09 - 2018-11-18,The Kuala Lumpur Major 2018,"$1,000,000.00"
2018-10-11 - 2018-11-11,ESL ANZ Championship - Season 2 (Dota 2),"$7,228.40"
2018-10-26 - 2018-11-11,WESG 2018 - American Qualifier,"$58,617.20"
2018-09-08 - 2018-11-11,WESG 2018 - Asian Qualifiers,"$19,898.00"
2018-10-29 - 2018-11-09,Gladiator Cup China Season 2,"$4,319.40"
2018-11-02 - 2018-11-04,Asia Pacific Predator League 2019,"$10,152.00"
2018-10-29 - 2018-11-04,DreamLeague Season 10,"$300,000.00"
2018-10-13 - 2018-11-04,WESG 2018 - Oceania Qualifier,"$7,195.51"
2018-10-15 - 2018-10-31,Flame Cup,"$7,000.00"
2018-10-08 - 2018-10-28,Autumn Cup,"$7,000.00"
2018-10-22 - 2018-10-28,StarLucK Dota 2 Challenge,"$7,203.50"
2018-10-25 - 2018-10-27,Gamers Premier Nation Season 3,"$10,891.62"
2018-10-23 - 2018-10-25,ESL One Hamburg 2018,"$300,000.00"
2018-10-01 - 2018-10-22,Taurora Invitational #2,"$12,000.00"
2018-10-15 - 2018-10-21,Play2Live CryptØmasters,"$30,000.00"
2018-10-20 - 2018-10-21,SEA Cyber Arena 2018 Finals,"$26,342.56"
2018-10-08 - 2018-10-21,X-Bet.co Rampage Series #3,"$5,782.36"
2018-10-19 - 2018-10-20,Red Bull Guardians,"$40,000.00"
2018-10-19 - 2018-10-20,Taiwan Excellence Gaming Cup 2018,"$6,805.00"
2018-10-03 - 2018-10-18,QIWI TEAM PLAY Season 2,"$2,930.00"
2018-10-01 - 2018-10-15,Asia Pro League,"$36,172.50"
2018-10-14 - 2018-10-15,WSOE Dota 2 Showdown 2018,"$100,000.00"
2018-10-12 - 2018-10-14,epic.TWENTY FIVE,$985.13
2018-06-23 - 2018-10-14,ESL India Premiership 2018,"$28,317.51"
2018-10-06 - 2018-10-14,Maincast Autumn Brawl,"$80,000.00"
2018-07-03 - 2018-10-11,Brasil Game Cup 2018,"$3,900.00"
2018-10-01 - 2018-10-07,GG.Bet Invitational Season 1,"$50,000.00"
2018-10-03 - 2018-10-07,PvP Esports Championship,"$200,000.00"
2018-09-05 - 2018-10-06,Liga Pro Gaming Season 3,"$3,500.00"
2018-10-01 - 2018-10-03,WESG 2018 - Chinese Regionals,"$20,384.00"
2018-09-28 - 2018-10-02,Reshuffle Madness,"$50,000.00"
2018-09-15 - 2018-09-28,GG.BET Dota 2 Battle,"$3,500.00"
2018-09-15 - 2018-09-18,Fusion.bet Weekend Showdown,"$1,500.00"
2018-09-15 - 2018-09-16,Krasnodar Mayor Cup 2018,"$1,520.00"
2018-09-08 - 2018-09-16,PVP Esports Championship Thailand Qualifiers,"$18,276.00"
2018-08-30 - 2018-09-16,Sunrise Cup,"$5,000.00"
2018-08-27 - 2018-08-31,SLTV ProSeries Season XXIV,"$2,000.00"
2018-08-12 - 2018-08-26,Sunday ES.BET Invitational,"$3,000.00"
2018-08-15 - 2018-08-25,The International 2018,"$25,532,177.00"
2018-08-08 - 2018-08-14,X-Bet.co Rampage Series #2,"$5,877.71"
2018-08-03 - 2018-08-13,JJB Cup (竞技宝杯) - The China Hope Series,"$14,534.00"
2018-07-14 - 2018-08-12,Moscow Mayor Cup 2018,"$7,855.00"
2018-08-03 - 2018-08-11,Rivalry.gg Rumble,"$10,000.00"
2018-05-27 - 2018-08-09,joinDOTA League Season 13,"$12,000.00"
2018-05-21 - 2018-08-08,ProDotA Cup SEA,"$4,000.00"
