NA LCS Summer 2015,1,50000,Counter Logic Gaming
NA LCS Summer 2015,2,25000,Team SoloMid
NA LCS Summer 2015,3,15000,Team Liquid
NA LCS Summer 2015,4,10000,Team Impulse
EU LCS Summer 2015,1,50000,Fnatic
EU LCS Summer 2015,2,25000,Origen
EU LCS Summer 2015,3,15000,H2K
EU LCS Summer 2015,4,10000,Unicorns Of Love
Mid Season Invitational 2015,1,100000,EDward Gaming
Mid Season Invitational 2015,2,50000,SK Telecom T1
Mid Season Invitational 2015,3,25000,Fnatic
Mid Season Invitational 2015,4,25000,ahq e-Sports Club
LCK Spring 2015,1,92649,SK Telecom T1
LCK Spring 2015,2,55589,GE Tigers
LCK Spring 2015,3,27795,CJ Entus
LCK Spring 2015,4,18530,Jin Air Green Wings
LMS Summer 2016,1,49287,Flash Wolves
LMS Summer 2016,2,19714,J Team
LMS Summer 2016,3,13143,ahq e-Sports Club
LMS Summer 2016,4,6571,Hong Kong Esports
LCK Spring 2017,1,89571,SK Telecom T1
LCK Spring 2017,2,53743,KT Rolster
LCK Spring 2017,4,17914,MVP
LCK Spring 2017,3,26871,Samsung Galaxy
LCK Summer 2017,1,88553,Longzhu Gaming
LCK Summer 2017,2,53132,SK Telecom T1
LCK Summer 2017,3,26566,KT Rolster
LCK Summer 2017,4,17711,Samsung Galaxy
NA LCS Spring 2015,1,50000,Team SoloMid
NA LCS Spring 2015,2,25000,Cloud9
NA LCS Spring 2015,3,15000,Team Liquid
NA LCS Spring 2015,4,10000,Team Impulse
EU LCS Spring 2015,1,50000,Fnatic
EU LCS Spring 2015,2,25000,Unicorns Of Love
EU LCS Spring 2015,3,15000,H2K
EU LCS Spring 2015,4,10000,SK Gaming
NA LCS Summer 2014,1,50000,Team SoloMid
NA LCS Summer 2014,2,25000,Cloud9
NA LCS Summer 2014,3,15000,LMQ
NA LCS Summer 2014,4,10000,Team Curse
2014 World Championship,1,1000000,Samsung White
2014 World Championship,2,250000,Star Horn Royal Club
2014 World Championship,3,150000,Samsung Blue
2014 World Championship,4,150000,Oh My God
EU LCS Summer 2014,1,50000,Alliance
EU LCS Summer 2014,2,25000,Fnatic
EU LCS Summer 2014,3,15000,SK Gaming
EU LCS Summer 2014,4,10000,Team ROCCAT
Champions Summer 2014,1,78186,KT Rolster Arrows
Champions Summer 2014,2,39093,Samsung Blue
Champions Summer 2014,3,23456,Samsung White
Champions Summer 2014,4,17592,SK Telecom T1 S
Rift Rivals 2017: LCK vs LPL vs LMS,1,20000,Team WE
Rift Rivals 2017: LCK vs LPL vs LMS,2,20000,Royal Never Give Up
Rift Rivals 2017: LCK vs LPL vs LMS,3,20000,EDward Gaming
Rift Rivals 2017: LCK vs LPL vs LMS,4,20000,Oh My God
Rift Rivals 2017: LCK vs LPL vs LMS,5,10000,SK Telecom T1
Rift Rivals 2017: LCK vs LPL vs LMS,6,10000,KT Rolster
Rift Rivals 2017: LCK vs LPL vs LMS,7,10000,Samsung Galaxy
Rift Rivals 2017: LCK vs LPL vs LMS,8,10000,MVP
Rift Rivals 2017: LCK vs LPL vs LMS,9,6000,Flash Wolves
Rift Rivals 2017: LCK vs LPL vs LMS,10,6000,ahq e-Sports Club
Rift Rivals 2017: LCK vs LPL vs LMS,11,6000,J Team
Rift Rivals 2017: LCK vs LPL vs LMS,12,6000,Machi Esports
Champions Spring 2014,1,74053.52,Samsung Blue
Champions Spring 2014,2,37026.76,NaJin White Shield
Champions Spring 2014,3,22216.06,Samsung Ozone
Champions Spring 2014,4,16662.04,CJ Entus Blaze
LCK Spring 2016,1,87800,SK Telecom T1
LCK Spring 2016,2,52680,ROX Tigers
LCK Spring 2016,3,26340,KT Rolster
LCK Spring 2016,4,17560,Jin Air Green Wings
NA LCS Spring 2014,1,50000,Cloud9
NA LCS Spring 2014,2,25000,Team SoloMid
NA LCS Spring 2014,3,15000,Counter Logic Gaming
NA LCS Spring 2014,4,10000,Team Curse
EU LCS Spring 2014,1,50000,Fnatic
EU LCS Spring 2014,2,25000,SK Gaming
EU LCS Spring 2014,3,15000,Team ROCCAT
EU LCS Spring 2014,4,10000,Alliance
IEM Season VIII - World Championship,1,60000,KT Rolster Bullets
IEM Season VIII - World Championship,2,30000,Fnatic
IEM Season VIII - World Championship,3,14000,Cloud9
IEM Season VIII - World Championship,4,14000,Gambit Gaming
Battle Of The Atlantic 2013,1,25000,Fnatic
Battle Of The Atlantic 2013,2,25000,Lemondogs
Battle Of The Atlantic 2013,3,25000,Gambit Gaming
Battle Of The Atlantic 2013,4,25000,Alliance
Battle Of The Atlantic 2013,5,25000,Team ALTERNATE
Battle Of The Atlantic 2013,6,-,Cloud9
Battle Of The Atlantic 2013,7,-,Team SoloMid
Battle Of The Atlantic 2013,8,-,XDG Gaming
Battle Of The Atlantic 2013,9,-,Team Dignitas
Battle Of The Atlantic 2013,10,-,Counter Logic Gaming
Season 3 World Championship,1,1000000,SK Telecom T1
Season 3 World Championship,2,250000,Royal Club
Season 3 World Championship,3,150000,NaJin Black Sword
Season 3 World Championship,4,150000,Fnatic
Champions Summer 2013,1,72078.57,SK Telecom T1 2
Champions Summer 2013,2,36039.28,KT Rolster Bullets
Champions Summer 2013,3,21623.57,MVP Ozone
Champions Summer 2013,4,16217.68,CJ Entus Frost
LCK Summer 2015,1,84793,SK Telecom T1
LCK Summer 2015,2,50876,KT Rolster
LCK Summer 2015,3,25438,KOO Tigers
LCK Summer 2015,4,16959,CJ Entus
EU LCS Summer 2013,1,50000,Fnatic
EU LCS Summer 2013,2,25000,Lemondogs
EU LCS Summer 2013,3,15000,Gambit Gaming
EU LCS Summer 2013,4,10000,Evil Geniuses
EU LCS Spring 2013,1,50000,Fnatic
EU LCS Spring 2013,2,25000,Gambit Gaming
EU LCS Spring 2013,3,15000,Evil Geniuses
EU LCS Spring 2013,4,10000,SK Gaming
IEM Season VII - World Championship,1,50000,CJ Entus Blaze
IEM Season VII - World Championship,2,25000,CJ Entus Frost
IEM Season VII - World Championship,3,13500,Gambit Gaming
IEM Season VII - World Championship,4,13500,SK Telecom T1 1
Champions Spring 2013,1,70940.86,MVP Ozone
Champions Spring 2013,2,35470.43,CJ Entus Blaze
Champions Spring 2013,3,21282.26,SK Telecom T1 2
Champions Spring 2013,4,15961.13,CJ Entus Frost
IGN Pro League Season 5,1,50000,Team WE
IGN Pro League Season 5,2,20000,Fnatic
IGN Pro League Season 5,3,7500,Taipei Assassins
IGN Pro League Season 5,4,3000,Moscow Five
Season 2 World Championship,1,1000000,Taipei Assassins
Season 2 World Championship,2,250000,Azubu Frost
Season 2 World Championship,3,150000,Moscow Five
Season 2 World Championship,4,150000,Counter Logic Gaming Europe
IEM Season VI - World Championship,1,50000,Moscow Five
IEM Season VI - World Championship,2,20000,Team Dignitas
IEM Season VI - World Championship,3,8000,Counter Logic Gaming
IEM Season VI - World Championship,4,3800,against All authority
Riot Season 1 Championship,1,50000,Fnatic
